Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Autenticação - Pagina Inicial,2,3593,3552,3635,"41,50","0,000%",",01395","0,22","0,01","16258,0"
Autenticação - Post AD FS,2,146,122,171,"24,50","0,000%",",01431","0,13","0,04","8984,0"
Autenticação - Post Home PGD,2,5841,4868,6814,"973,00","0,000%",",01384","0,13","0,11","9697,0"
Autenticação - Seleção de Perfil,2,104,87,122,"17,50","0,000%",",01452","0,12","0,03","8731,0"
Open Atividade Page,2,487,62,912,"425,00","0,000%",",01444","0,14","0,03","10060,0"
Post Atividade,442,13459,74,44295,"10717,12","0,226%",",31005","68,63","0,73","226681,3"
TOTAL,452,13207,62,44295,"10736,03","0,221%",",31410","68,07","0,74","221904,0"
