timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1486138543514,5574,Pagina Inicial,200,OK,Thread Group 1-66,text,true,,16258,606,100,100,4207,0,179
1486138543501,5591,Pagina Inicial,200,OK,Thread Group 1-65,text,true,,16258,606,100,100,4189,0,196
1486138543781,5315,Pagina Inicial,200,OK,Thread Group 1-93,text,true,,16258,606,100,100,3963,0,217
1486138543327,5773,Pagina Inicial,200,OK,Thread Group 1-52,text,true,,16258,606,100,100,4362,0,96
1486138543578,5526,Pagina Inicial,200,OK,Thread Group 1-72,text,true,,16258,606,100,100,4143,0,216
1486138543357,5747,Pagina Inicial,200,OK,Thread Group 1-55,text,true,,16258,606,100,100,4361,0,106
1486138543436,5668,Pagina Inicial,200,OK,Thread Group 1-59,text,true,,16258,606,100,100,4283,0,106
1486138543128,5992,Pagina Inicial,200,OK,Thread Group 1-33,text,true,,16258,606,100,100,4563,0,142
1486138543186,5934,Pagina Inicial,200,OK,Thread Group 1-40,text,true,,16258,606,100,100,4516,0,132
1486138543660,5463,Pagina Inicial,200,OK,Thread Group 1-79,text,true,,16258,606,100,100,4042,0,253
1486138543249,5880,Pagina Inicial,200,OK,Thread Group 1-46,text,true,,16258,606,100,100,4455,0,104
1486138543530,5622,Pagina Inicial,200,OK,Thread Group 1-68,text,true,,16258,606,100,100,4169,0,173
1486138543701,5462,Pagina Inicial,200,OK,Thread Group 1-85,text,true,,16258,606,100,100,4007,0,232
1486138543616,5548,Pagina Inicial,200,OK,Thread Group 1-76,text,true,,16258,606,100,100,4117,0,178
1486138543658,5541,Pagina Inicial,200,OK,Thread Group 1-78,text,true,,16258,606,100,100,4077,0,258
1486138542882,6327,Pagina Inicial,200,OK,Thread Group 1-9,text,true,,16258,606,100,100,4797,0,169
1486138543138,6139,Pagina Inicial,200,OK,Thread Group 1-35,text,true,,16258,606,100,100,4553,0,134
1486138543611,5672,Pagina Inicial,200,OK,Thread Group 1-75,text,true,,16258,606,100,100,4123,0,215
1486138543451,5873,Pagina Inicial,200,OK,Thread Group 1-60,text,true,,16258,606,100,100,4268,0,152
1486138543869,5461,Pagina Inicial,200,OK,Thread Group 1-97,text,true,,16258,606,100,100,3847,0,147
1486138543623,5758,Pagina Inicial,200,OK,Thread Group 1-77,text,true,,16258,606,100,100,4111,0,203
1486138543498,5961,Pagina Inicial,200,OK,Thread Group 1-62,text,true,,16258,606,100,100,4222,0,142
1486138543878,5600,Pagina Inicial,200,OK,Thread Group 1-99,text,true,,16258,606,100,100,3868,0,137
1486138548833,656,Post AD FS,200,OK,Thread Group 1-10,text,true,,8974,2593,100,100,167,0,0
1486138548857,651,Post AD FS,200,OK,Thread Group 1-22,text,true,,8994,2613,100,100,460,0,0
1486138548834,674,Post AD FS,200,OK,Thread Group 1-14,text,true,,8974,2593,100,100,305,0,0
1486138548858,650,Post AD FS,200,OK,Thread Group 1-74,text,true,,8974,2593,100,100,469,0,0
1486138548835,684,Post AD FS,200,OK,Thread Group 1-6,text,true,,8994,2613,100,100,467,0,0
1486138543889,5638,Pagina Inicial,200,OK,Thread Group 1-100,text,true,,16258,606,100,100,3857,0,187
1486138543466,6068,Pagina Inicial,200,OK,Thread Group 1-61,text,true,,16258,606,100,100,4254,0,155
1486138548883,667,Post AD FS,200,OK,Thread Group 1-26,text,true,,8994,2613,100,100,426,0,0
1486138548829,737,Post AD FS,200,OK,Thread Group 1-7,text,true,,8974,2593,100,100,184,0,0
1486138543795,5779,Pagina Inicial,200,OK,Thread Group 1-94,text,true,,16258,606,100,100,3950,0,206
1486138549123,497,Post AD FS,200,OK,Thread Group 1-79,text,true,,8994,2613,100,100,196,0,0
1486138548871,751,Post AD FS,200,OK,Thread Group 1-12,text,true,,8974,2593,100,100,278,0,0
1486138543782,5886,Pagina Inicial,200,OK,Thread Group 1-92,text,true,,16258,606,100,100,3963,0,217
1486138548857,817,Post AD FS,200,OK,Thread Group 1-18,text,true,,8974,2593,100,100,472,0,0
1486138543202,6518,Pagina Inicial,200,OK,Thread Group 1-41,text,true,,16258,606,100,100,4514,0,120
